Timestamp,Symbol,Direction,Entry_Price,Exit_Price,Quantity,Margin_USDT,PNL_USDT,PNL_Percent,Exit_Reason,Duration_Minutes
2025-11-24 16:58:53,BTCUSDT,SHORT,,,0.011,,2.45,+4.90%,TP,
2025-11-24 16:59:00,SOLUSDT,SHORT,,,7.0,,1.75,+3.50%,TP,
2025-11-24 16:59:05,ADAUSDT,SHORT,,,2337.0,,-5.85,-11.70%,SL,
2025-11-24 16:59:09,XRPUSDT,SHORT,,,443.0,,-3.10,-6.20%,SL,
2025-11-24 16:59:15,BNBUSDT,SHORT,,,1.16,,0.58,+1.16%,TP,
2025-11-24 16:59:19,DOGEUSDT,SHORT,,,6592.0,,-1.98,-3.96%,SL,
2025-11-24 17:00:09,ETHUSDT,SHORT,,,0.341,,1.70,+3.40%,TP,
2025-11-24 17:05:30,BTCUSDT,LONG,,,0.011,,3.20,+6.40%,TP,
2025-11-24 17:10:15,SOLUSDT,LONG,,,7.0,,2.10,+4.20%,TP,
2025-11-24 17:15:45,ETHUSDT,LONG,,,0.341,,1.50,+3.00%,TP,
2025-11-24 17:20:20,BNBUSDT,LONG,,,1.16,,0.75,+1.50%,TP,
2025-11-24 17:25:10,XRPUSDT,LONG,,,443.0,,-4.50,-9.00%,SL,
2025-11-24 17:30:55,ADAUSDT,LONG,,,2337.0,,-6.20,-12.40%,SL,
2025-11-24 17:35:40,DOGEUSDT,LONG,,,6592.0,,1.32,+2.64%,TP,
2025-11-24 17:40:25,BTCUSDT,SHORT,,,0.011,,2.75,+5.50%,TP,
2025-11-24 17:45:30,ETHUSDT,SHORT,,,0.341,,2.05,+4.10%,TP,
2025-11-24 17:50:15,SOLUSDT,SHORT,,,7.0,,-1.40,-2.80%,SL,
2025-11-24 17:55:45,BNBUSDT,SHORT,,,1.16,,0.85,+1.70%,TP,
2025-11-24 18:00:20,XRPUSDT,SHORT,,,443.0,,2.20,+4.40%,TP,
2025-11-24 18:05:10,ADAUSDT,SHORT,,,2337.0,,-7.10,-14.20%,SL,
2025-11-24 17:31:02,BTCUSDT,LONG,,,,,-8.34,-8.25%,SL,
2025-11-24 18:00:06,ETHUSDT,SHORT,,,,,14.93,4.99%,TP,
2025-11-24 18:01:22,ETHUSDT,SHORT,,,,,2.81,4.70%,TP,
2025-11-24 18:01:22,ETHUSDT,SHORT,,,,,2.81,4.70%,TP,
2025-11-24 18:23:52,BNBUSDT,SHORT,,,,,2.96,4.96%,TP,
2025-11-24 18:23:52,BNBUSDT,SHORT,,,,,2.96,4.96%,TP,
2025-11-24 18:25:05,BNBUSDT,SHORT,,,,,13.30,4.45%,TP,
2025-11-24 18:25:05,BNBUSDT,SHORT,,,,,13.30,4.45%,TP,
2025-11-24 18:25:05,BTCUSDT,LONG,,,,,-8.35,-8.28%,SL,
2025-11-24 18:26:26,SOLUSDT,SHORT,,,,,14.90,7.74%,TP,
2025-11-24 18:26:26,SOLUSDT,SHORT,,,,,14.90,7.74%,TP,
2025-11-24 18:27:05,BNBUSDT,SHORT,,,,,13.76,4.59%,TP,
2025-11-24 18:45:41,ETHUSDT,SHORT,,,,,-25.29,-8.40%,SL,
2025-11-24 18:50:15,ETHUSDT,LONG,,,,,15.08,5.01%,TP,
2025-11-24 18:50:15,ETHUSDT,LONG,,,,,15.08,5.01%,TP,
2025-11-24 18:50:53,SOLUSDT,SHORT,,,,,-25.96,-8.55%,SL,
2025-11-24 18:50:53,BNBUSDT,SHORT,,,,,-25.85,-8.58%,SL,
2025-11-24 19:52:05,ETHUSDT,SHORT,,,,,12.22,4.08%,TP,
2025-11-24 20:05:38,BTCUSDT,LONG,,,,,2.74,4.45%,TP,
2025-11-24 20:05:39,BTCUSDT,LONG,,,,,2.74,4.45%,TP,
2025-11-24 20:10:05,ETHUSDT,SHORT,,,,,-26.42,-8.77%,SL,
2025-11-24 20:21:12,ETHUSDT,LONG,,,,,2.56,4.26%,TP,
2025-11-24 20:22:31,BNBUSDT,LONG,,,,,-30.97,-10.39%,SL,
2025-11-24 20:31:39,ETHUSDT,LONG,,,,,2.88,4.80%,TP,
2025-11-24 20:31:39,ETHUSDT,LONG,,,,,2.88,4.80%,TP,
2025-11-24 20:34:50,BNBUSDT,LONG,,,,,13.02,4.34%,TP,
2025-11-24 20:34:50,BNBUSDT,LONG,,,,,13.02,4.34%,TP,
2025-11-24 20:34:51,BNBUSDT,LONG,,,,,13.25,4.41%,TP,
2025-11-24 20:43:20,ETHUSDT,SHORT,,,,,2.40,4.00%,TP,
2025-11-24 21:16:43,SOLUSDT,LONG,,,,,-31.36,-8.11%,SL,
2025-11-24 21:17:55,ETHUSDT,SHORT,,,,,16.50,4.13%,TP,
2025-11-24 21:17:55,ETHUSDT,SHORT,,,,,16.50,4.13%,TP,
2025-11-24 21:17:56,ETHUSDT,SHORT,,,,,16.50,4.13%,TP,
2025-11-24 21:26:03,ETHUSDT,SHORT,,,,,18.01,4.52%,TP,
2025-11-24 21:26:04,ETHUSDT,SHORT,,,,,18.01,4.52%,TP,
2025-11-24 21:26:44,BTCUSDT,LONG,,,,,-25.55,-8.42%,SL,
2025-11-24 22:25:47,BTCUSDT,SHORT,,,,,16.39,4.05%,TP,
2025-11-24 22:56:33,SOLUSDT,SHORT,,,,,-16.61,-8.59%,SL,
2025-11-24 23:25:24,SOLUSDT,SHORT,,,,,18.15,4.41%,TP,
2025-11-24 23:26:26,SOLUSDT,SHORT,,,,,15.81,5.13%,TP,
2025-11-24 23:27:14,BTCUSDT,SHORT,,,,,3.26,4.13%,TP,
2025-11-24 23:47:25,SOLUSDT,SHORT,,,,,12.33,4.01%,TP,
2025-11-24 23:48:27,BNBUSDT,SHORT,,,,,16.70,4.19%,TP,
2025-11-24 23:50:00,SOLUSDT,SHORT,,,,,12.60,4.11%,TP,
2025-11-24 23:50:01,ETHUSDT,SHORT,,,,,21.92,5.49%,TP,
2025-11-24 23:50:01,BNBUSDT,SHORT,,,,,14.81,4.94%,TP,
2025-11-24 23:52:02,BNBUSDT,SHORT,,,,,14.17,4.73%,TP,
2025-11-24 23:55:07,BTCUSDT,LONG,,,,,-16.67,-8.30%,SL,
2025-11-25 01:12:45,ETHUSDT,SHORT,,,,,56.75,9.50%,TP,
2025-11-25 01:12:46,BNBUSDT,SHORT,,,,,67.89,13.68%,TP,
2025-11-25 01:25:25,BNBUSDT,SHORT,,,,,17.04,4.28%,TP,
2025-11-25 01:25:25,BNBUSDT,SHORT,,,,,16.66,4.18%,TP,
2025-11-25 01:42:41,SOLUSDT,SHORT,,,,,-36.49,-8.97%,SL,
2025-11-25 01:42:42,ETHUSDT,SHORT,,,,,-34.75,-8.65%,SL,
2025-11-25 01:43:38,BTCUSDT,LONG,,,,,8.40,4.20%,TP,
2025-11-25 01:43:51,ETHUSDT,LONG,,,,,8.56,4.27%,TP,
2025-11-25 01:44:29,ETHUSDT,LONG,,,,,12.59,4.18%,TP,
2025-11-25 01:48:46,BNBUSDT,SHORT,,,,,-19.14,-9.51%,SL,
2025-11-25 01:57:28,SOLUSDT,LONG,,,,,12.90,6.32%,TP,
2025-11-25 01:57:29,SOLUSDT,LONG,,,,,12.90,6.32%,TP,
2025-11-25 02:23:59,BNBUSDT,LONG,,,,,8.27,4.12%,TP,
2025-11-25 02:32:43,ETHUSDT,LONG,,,,,9.01,4.48%,TP,
2025-11-25 02:32:43,ETHUSDT,LONG,,,,,8.90,4.43%,TP,
2025-11-25 02:33:53,BTCUSDT,LONG,,,,,8.83,4.40%,TP,
2025-11-25 02:33:53,BTCUSDT,LONG,,,,,8.83,4.40%,TP,
2025-11-25 02:34:33,SOLUSDT,LONG,,,,,12.60,4.10%,TP,
2025-11-25 03:03:53,SOLUSDT,LONG,,,,,-35.64,-8.74%,SL,
2025-11-25 03:20:18,SOLUSDT,LONG,,,,,-30.71,-10.04%,SL,
2025-11-25 06:32:52,BTCUSDT,SHORT,,,,,-8.91,-8.86%,SL,
2025-11-25 06:33:34,BTCUSDT,SHORT,,,,,-27.24,-9.03%,SL,
2025-11-25 06:44:57,BNBUSDT,SHORT,,,,,-59.15,-19.53%,SL,
2025-11-25 06:45:51,SOLUSDT,SHORT,,,,,-97.22,-31.66%,SL,
2025-11-25 06:45:52,ETHUSDT,SHORT,,,,,-34.75,-8.65%,SL,
2025-11-25 06:45:52,BNBUSDT,SHORT,,,,,-19.72,-19.53%,SL,
2025-11-25 06:46:36,SOLUSDT,SHORT,,,,,-32.41,-31.66%,SL,
2025-11-25 06:46:36,ETHUSDT,SHORT,,,,,-29.20,-9.69%,SL,
2025-11-25 06:46:37,BNBUSDT,SHORT,,,,,-60.72,-20.05%,SL,
2025-11-25 06:47:26,SOLUSDT,SHORT,,,,,-103.07,-33.57%,SL,
2025-11-25 06:47:26,ETHUSDT,SHORT,,,,,-42.18,-13.96%,SL,
2025-11-25 06:47:26,BNBUSDT,SHORT,,,,,-60.99,-20.14%,SL,
2025-11-25 06:48:10,SOLUSDT,SHORT,,,,,-103.07,-33.57%,SL,
2025-11-25 06:48:10,ETHUSDT,SHORT,,,,,-28.49,-14.14%,SL,
2025-11-25 06:48:10,BNBUSDT,SHORT,,,,,-64.42,-21.27%,SL,
2025-11-25 06:48:59,SOLUSDT,SHORT,,,,,-136.40,-44.42%,SL,
2025-11-25 06:48:59,ETHUSDT,SHORT,,,,,-60.53,-19.98%,SL,
2025-11-25 06:49:00,BNBUSDT,SHORT,,,,,-71.69,-23.57%,SL,
2025-11-25 06:49:49,SOLUSDT,SHORT,,,,,-139.22,-45.34%,SL,
2025-11-25 06:49:49,ETHUSDT,SHORT,,,,,-62.84,-20.74%,SL,
2025-11-25 06:49:50,BNBUSDT,SHORT,,,,,-84.68,-27.84%,SL,
2025-11-25 06:50:41,SOLUSDT,SHORT,,,,,-148.97,-48.52%,SL,
2025-11-25 06:50:41,ETHUSDT,SHORT,,,,,-60.40,-19.91%,SL,
2025-11-25 06:50:42,BNBUSDT,SHORT,,,,,-102.10,-33.43%,SL,
2025-11-25 06:51:28,SOLUSDT,SHORT,,,,,-99.31,-48.52%,SL,
2025-11-25 06:51:29,ETHUSDT,SHORT,,,,,-44.13,-21.85%,SL,
2025-11-25 06:51:30,BNBUSDT,SHORT,,,,,-102.10,-33.43%,SL,
2025-11-25 06:52:12,SOLUSDT,SHORT,,,,,-49.66,-48.52%,SL,
2025-11-25 06:52:12,BNBUSDT,SHORT,,,,,-67.78,-33.43%,SL,
2025-11-25 06:52:45,SOLUSDT,LONG,,,,,41.86,40.89%,TP,
2025-11-25 06:52:55,SOLUSDT,LONG,,,,,41.86,40.89%,TP,
2025-11-25 06:52:55,SOLUSDT,LONG,,,,,83.71,40.89%,TP,
2025-11-25 06:52:56,BNBUSDT,SHORT,,,,,-33.89,-33.43%,SL,
2025-11-25 06:53:33,SOLUSDT,LONG,,,,,41.86,40.89%,TP,
2025-11-25 06:53:49,SOLUSDT,LONG,,,,,41.86,40.89%,TP,
2025-11-25 06:53:50,BNBUSDT,SHORT,,,,,-58.60,-28.90%,SL,
2025-11-25 06:53:56,SOLUSDT,LONG,,,,,41.86,40.89%,TP,
2025-11-25 06:54:30,SOLUSDT,SHORT,,,,,-85.81,-41.92%,SL,
2025-11-25 06:54:31,BNBUSDT,SHORT,,,,,-29.30,-28.90%,SL,
2025-11-25 06:55:25,SOLUSDT,SHORT,,,,,-84.01,-41.04%,SL,
2025-11-25 06:55:58,ETHUSDT,LONG,,,,,15.77,15.64%,TP,
2025-11-25 06:56:14,SOLUSDT,SHORT,,,,,-42.01,-41.04%,SL,
2025-11-25 06:56:43,ETHUSDT,LONG,,,,,15.01,14.91%,TP,
2025-11-25 06:57:11,ETHUSDT,LONG,,,,,23.97,11.92%,TP,
2025-11-25 07:05:43,ETHUSDT,SHORT,,,,,-72.22,-23.80%,SL,
2025-11-25 07:08:05,ETHUSDT,SHORT,,,,,-39.24,-19.42%,SL,
2025-11-25 07:09:03,ETHUSDT,SHORT,,,,,-50.65,-16.74%,SL,
2025-11-25 07:09:47,ETHUSDT,SHORT,,,,,-42.10,-13.94%,SL,
2025-11-25 07:29:45,BNBUSDT,LONG,,,,,39.87,19.75%,TP,
2025-11-25 07:29:48,BNBUSDT,LONG,,,,,19.93,19.74%,TP,
2025-11-25 07:29:48,BNBUSDT,LONG,,,,,19.93,19.74%,TP,
2025-11-25 07:31:32,SOLUSDT,LONG,,,,,29.71,29.02%,TP,
2025-11-25 07:31:34,SOLUSDT,LONG,,,,,59.41,29.02%,TP,
2025-11-25 07:31:34,SOLUSDT,LONG,,,,,59.41,29.02%,TP,
2025-11-25 07:32:31,SOLUSDT,LONG,,,,,27.61,26.97%,TP,
2025-11-25 07:32:31,SOLUSDT,LONG,,,,,55.21,26.97%,TP,
2025-11-25 07:32:32,SOLUSDT,LONG,,,,,27.61,26.97%,TP,
2025-11-25 07:33:21,SOLUSDT,LONG,,,,,52.21,25.51%,TP,
2025-11-25 07:33:21,SOLUSDT,LONG,,,,,52.21,25.51%,TP,
2025-11-25 07:33:22,SOLUSDT,LONG,,,,,25.96,25.36%,TP,
2025-11-25 08:21:11,BNBUSDT,LONG,,,,,9.07,4.53%,TP,
2025-11-25 08:21:11,BNBUSDT,LONG,,,,,9.07,4.53%,TP,
2025-11-25 08:25:08,SOLUSDT,LONG,,,,,7.06,6.89%,TP,
2025-11-25 08:25:08,SOLUSDT,LONG,,,,,14.11,6.89%,TP,
2025-11-25 08:25:10,SOLUSDT,LONG,,,,,7.06,6.89%,TP,
2025-11-25 08:25:44,SOLUSDT,LONG,,,,,14.07,6.88%,TP,
2025-11-25 08:25:45,SOLUSDT,LONG,,,,,14.07,6.88%,TP,
2025-11-25 08:25:47,SOLUSDT,LONG,,,,,6.76,6.60%,TP,
2025-11-25 08:26:20,SOLUSDT,LONG,,,,,6.70,6.54%,TP,
2025-11-25 08:26:21,SOLUSDT,LONG,,,,,6.65,6.50%,TP,
2025-11-25 08:26:25,SOLUSDT,LONG,,,,,6.61,6.45%,TP,
2025-11-25 08:26:56,SOLUSDT,LONG,,,,,6.61,6.45%,TP,
2025-11-25 08:26:58,SOLUSDT,LONG,,,,,6.61,6.45%,TP,
2025-11-25 08:27:02,SOLUSDT,LONG,,,,,6.61,6.45%,TP,
2025-11-25 08:27:33,SOLUSDT,LONG,,,,,6.16,6.02%,TP,
2025-11-25 08:27:33,SOLUSDT,LONG,,,,,6.16,6.02%,TP,
2025-11-25 08:27:35,SOLUSDT,LONG,,,,,6.16,6.02%,TP,
2025-11-25 08:28:09,SOLUSDT,LONG,,,,,5.71,5.58%,TP,
2025-11-25 08:28:10,SOLUSDT,LONG,,,,,5.71,5.58%,TP,
2025-11-25 08:28:12,SOLUSDT,LONG,,,,,5.71,5.58%,TP,
2025-11-25 08:28:47,SOLUSDT,LONG,,,,,5.26,5.14%,TP,
2025-11-25 08:28:48,SOLUSDT,LONG,,,,,5.26,5.14%,TP,
2025-11-25 08:28:50,SOLUSDT,LONG,,,,,5.26,5.14%,TP,
2025-11-25 08:29:23,SOLUSDT,LONG,,,,,4.81,4.70%,TP,
2025-11-25 08:29:24,SOLUSDT,LONG,,,,,4.96,4.84%,TP,
2025-11-25 08:29:27,SOLUSDT,LONG,,,,,4.96,4.84%,TP,
2025-11-25 08:30:00,SOLUSDT,LONG,,,,,4.51,4.40%,TP,
2025-11-25 08:30:01,SOLUSDT,LONG,,,,,4.51,4.40%,TP,
2025-11-25 08:30:06,SOLUSDT,LONG,,,,,4.36,4.26%,TP,
2025-11-25 14:32:05,SOLUSDT,LONG,,,,,29.70,14.43%,TP,
2025-11-25 14:32:06,ETHUSDT,SHORT,,,,,-89.07,-29.28%,SL,
2025-11-25 14:32:06,BNBUSDT,LONG,,,,,49.28,16.30%,TP,
2025-11-25 14:39:53,BTCUSDT,LONG,,,,,12.97,4.30%,TP,
2025-11-25 14:40:06,SOLUSDT,LONG,,,,,7.28,7.50%,TP,
2025-11-25 14:40:08,ETHUSDT,LONG,,,,,6.15,6.13%,TP,
2025-11-25 14:40:37,SOLUSDT,LONG,,,,,6.89,7.09%,TP,
2025-11-25 14:40:37,ETHUSDT,LONG,,,,,12.48,6.22%,TP,
2025-11-25 14:40:37,SOLUSDT,LONG,,,,,6.88,7.08%,TP,
2025-11-25 14:40:38,BNBUSDT,LONG,,,,,4.17,4.16%,TP,
2025-11-25 14:40:38,ETHUSDT,LONG,,,,,12.32,6.14%,TP,
2025-11-25 14:40:38,BNBUSDT,LONG,,,,,4.18,4.16%,TP,
2025-11-25 14:43:13,SOLUSDT,LONG,,,,,4.06,4.19%,TP,
2025-11-25 14:51:24,ETHUSDT,LONG,,,,,4.75,4.74%,TP,
2025-11-25 14:57:12,SOLUSDT,LONG,,,,,1.36,6.51%,TP,
2025-11-25 14:57:12,ETHUSDT,LONG,,,,,3.94,9.79%,TP,
2025-11-25 14:58:14,SOLUSDT,LONG,,,,,4.75,4.88%,TP,
2025-11-25 14:58:27,SOLUSDT,LONG,,,,,5.89,5.64%,TP,
2025-11-25 14:58:27,BNBUSDT,LONG,,,,,4.20,4.20%,TP,
2025-11-25 14:58:57,SOLUSDT,LONG,,,,,5.18,5.31%,TP,
2025-11-25 14:58:59,SOLUSDT,LONG,,,,,5.81,5.95%,TP,
2025-11-25 14:59:00,BNBUSDT,LONG,,,,,4.35,4.34%,TP,
2025-11-25 14:59:01,BTCUSDT,LONG,,,,,4.27,4.24%,TP,
2025-11-25 14:59:11,ETHUSDT,LONG,,,,,4.99,4.98%,TP,
2025-11-25 15:00:14,ETHUSDT,LONG,,,,,1.71,4.26%,TP,
2025-11-25 15:00:14,ETHUSDT,LONG,,,,,1.71,4.26%,TP,
2025-11-25 15:00:23,ETHUSDT,LONG,,,,,4.11,4.10%,TP,
2025-11-25 15:07:32,BNBUSDT,LONG,,,,,8.17,4.08%,TP,
2025-11-25 15:09:12,SOLUSDT,LONG,,,,,4.25,4.36%,TP,
2025-11-25 15:09:43,BNBUSDT,LONG,,,,,10.05,5.00%,TP,
2025-11-25 15:09:55,BNBUSDT,LONG,,,,,4.20,4.18%,TP,
2025-11-25 15:11:29,ETHUSDT,LONG,,,,,8.94,4.46%,TP,
2025-11-25 15:11:29,ETHUSDT,LONG,,,,,8.94,4.46%,TP,
2025-11-25 15:12:09,SOLUSDT,LONG,,,,,4.41,4.50%,TP,
2025-11-25 15:14:53,SOLUSDT,LONG,,,,,0.88,4.19%,TP,
2025-11-25 15:16:57,SOLUSDT,LONG,,,,,8.88,4.53%,TP,
2025-11-25 15:17:28,SOLUSDT,LONG,,,,,7.94,4.05%,TP,
2025-11-25 15:17:29,SOLUSDT,LONG,,,,,7.94,4.05%,TP,
2025-11-25 15:19:05,SOLUSDT,LONG,,,,,13.09,4.44%,TP,
2025-11-25 15:19:12,SOLUSDT,LONG,,,,,4.34,4.42%,TP,
2025-11-25 15:19:13,SOLUSDT,LONG,,,,,4.35,4.43%,TP,
2025-11-25 15:19:44,SOLUSDT,LONG,,,,,4.47,4.55%,TP,
2025-11-25 15:19:44,SOLUSDT,LONG,,,,,4.47,4.55%,TP,
2025-11-25 15:24:07,SOLUSDT,LONG,,,,,-10.01,-10.24%,SL,
